Q,A,label,
강아지 키우고 싶어,책임질 수 있을 때 키워 보세요.,0,
강아지 키우고 싶은데 역시 안돼겠지,먼저 생활패턴을 살펴 보세요.,0,
강아지 키울 수 있을까,먼저 생활패턴을 살펴 보세요.,0,
강아지 키울까,책임질 수 있을 때 키워 보세요.,0,
강원도 가서 살까?,아름다운 곳이죠.,0,
같이 놀러갈 친구가 없어,혼자도 좋아요.,0,
같이 먹었는데 나만 살찐 거 같아,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.,0,
같이 수영장 가기로 했어,즐거운 시간 보내고 오세요!,0,
같이 피씨방 가자고 해볼까?,말해보세요.,0,
같이 할 수 있는 취미 생활 뭐 있을까,함께하면 서로를 더 많이 알게 될 거예요.,0,
개강룩 입어볼까,개시해보세요.,0,
개강옷 예쁘게 입어 볼까,개시해보세요.,0,
개강이라니,방학이 참 짧죠.,0,
개같은 상황,벗어나는 게 좋겠네요.,0,
개념이 없어,그게 제일 중요한 건데요.,0,
개당황했잖아 갑자기 물어 봐서,갑작스러웠나봐요.,0,
개인적인 업무까지 다 시켜,공적인 일부터 하세요.,0,
개졸려,낮잠을 잠깐 자도 괜찮아요.,0,
개학하니까 좋다,친구들이 보고싶었나봐요.,0,
거지 같이 일해 놓고 갔어,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.,0,
거지됐어,밥 사줄 친구를 찾아 보세요~,0,
거짓말 했어,선의의 거짓말이길 바라요.,0,
거짓말을 나도 모르게 자꾸 해,거짓말은 할수록 늘어요.,0,
거짓말이 거짓말을 낳아,진실된 말을 하려고 노력해보세요.,0,
걱정 없이 살고파,누구나 걱정은 있어요.,0,
건강 관리,운동을 해보세요.,0,
건강검진 왔어,주기적으로 해주는 게 좋죠.,0,
건강검진하러 옴,주기적으로 해주는 게 좋죠.,0,
건강이 최고,가장 중요한 목표네요.,0,
건강이 최고인 것 같아,가장 중요한 목표네요.,0,
건강하게 다이어트 하는 방법,적게 먹고 많이 움직이세요.,0,
건강한 다이어트법,적게 먹고 많이 움직이세요.,0,
건물주 되고싶어,이룰 수 있을 거예요.,0,
건방져,기분이 나쁘셨나봐요.,0,
건조기 살까봐,있으면 편하대요.,0,
건조하네,눈을 깜빡거려 보세요.,0,
걸레질도 해야 돼,청소를 좋아하시나봐요.,0,
걸어 가고 있는데 깜깜해서 무서워,안전 귀가 하세요.,0,
게으른 동료가 있어,피해를 안 준다면 무시하세요.,0,
게임 때문에 시간 다갔어,게임할때는 시간이 더 빨리 가요.,0,
게임 때문에 폰이 점점 느려지는듯,정리해보세요.,0,
게임 재미있어.,게임하세요!,0,
게임 지겨워,다른 게임해보세요.,0,
게임도 이제 재미없어,다른 게임해보세요.,0,
겨울 지나 봄이야,마음에도 봄이 오길 바라요.,0,
격려가 필요해.,잘하실 거예요!,0,
견과류 챙겨 먹어야지.,건강 생각해서 챙겨드세요.,0,
결국 이런 운명이라니 슬프다,좋은 운명도 있을거예요.,0,
결정은 빠를수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,0,
결정을 못 내리겠어. 어떻해,결정은 빠르면 빠를수록 좋을 거예요.,0,
결정적인 물증이 없어,안타깝네요. 증거를 지금이라도 모아봐요.,0,
결혼 했는데.,좋겠어요.,0,
결혼도 다 돈이다.,많이 들지만 줄일 수 있을 거예요.,0,
결혼식 가기 귀찮아,경조사는 참석하는게 좋아요.,0,
결혼식때 하객이 없을 까봐 걱정돼,생각보다 신경 안 씁니다.,0,
결혼이나 하지 왜 자꾸 나한테 화 내냐구!,힘들겠네요.,0,
결혼하는데 돈 많이 드네,허례허식이에요.,0,
결혼하는데 돈 얼마나 들까,욕심에 따라 천지 차이일 거예요.,0,
결혼하면 좋아?,해봐요.,0,
결혼하면 행복할까?,서로 노력하면 행복할 거예요.,0,
결혼하면 행복해질까?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,0,
결혼할까,능력이 있으면 하면 되죠.,0,
결혼해야 하나,해봐요.,0,
경쟁이 너무 치열해,점점 치열해지는 것 같아요.,0,
계속 공부해도 될까,확신이 없나봐요.,0,
계속 방학이면 좋을텐데,방학은 참 짧아요.,0,
계속 속이 진짜 안 좋아,계속 좋지 않으면 병원에 가보세요.,0,
계속 학생하고 싶어,이제 취업 하셔야죠.,0,
고3은 공부만 해야겠지.,공부가 최우선이죠.,0,
고구마 다이어트 해야지,너무 무리하지는 마세요.,0,
고구마만 먹고 다이어트 해야지,너무 무리하지는 마세요.,0,
고기 구워 먹고 싶다.,저기압에는 고기앞이죠.,0,
고기 먹고 싶어,저기압에는 고기앞이죠.,0,
고데기 망했어,연습이 필요해요.,0,
고데기 했는데 망했어,연습이 필요해요.,0,
고독한 밤,혼자가 아니에요.,0,
고마운 사람들이 많아,인복이 많나봐요.,0,
고무신 거꾸로 신으면 어쩌지,너무 걱정하지 마세요.,0,
고민 있어,네 말씀하세요.,0,
고민 좀 들어줄래,네 말씀하세요.,0,
고시원 답답해,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.,0,
고양이 동영상 보는 중,완전 귀엽죠?,0,
고양이 키우고 싶어,가족들과 상의해보세요.,0,
고집 센 사람,피할 수 있으면 피하세요.,0,
고집하고는,피할 수 있으면 피하세요.,0,
골프 못 치는데,처음부터 잘하는 사람은 없어요.,0,
골프 어려워,처음부터 잘하는 사람은 없어요.,0,
골프치러 가야돼,시간내서 가보세요.,0,
곱창 생각나,미리 미리 충전해주세요.,0,
공무원 괜찮겠지,안정적이고 좋죠.,0,
공무원 되면 좋겠다,준비해보세요.,0,
공무원 시험 공부 힘들다,합격 기원해요!,0,
공무원 시험 힘들어ㅠㅠ,철밥통 되기가 어디 쉽겠어요.,0,
공무원 준비할까,시작이 반이에요. 어서 준비하세요.,0,
공무원이 좋지?,안정적이고 좋죠.,0,
공복이라 예민해,자연스러운 현상이에요.,0,
공복이면 예민함?,보이는 게 없죠.,0,
공부 꼭 해야 할까,미래의 배우자가 달라져요.,0,
공부 때려치워야 하나,확신이 없나봐요.,0,
공부 시작해도 될까,공부는 언제나 좋죠.,0,
공부 왜 해야 돼?,공부하면 더 많은 선택을 할 수 있죠.,0,
공부 좀 더 할 걸,지금도 늦지 않았어요.,0,
공부 하기 싫다,같이 수다 떨면서 놀까요?,0,
공부는 내 체질이 아닌 것 같아,확신이 없나봐요.,0,
공부로 먹고 살 수 있을까,지금처럼 잘될 거예요.,0,
공부방법이 잘못된걸까?,나한테 맞는 공부 방법 찾는 게 시급하네요.,0,
공부하는 낙이 없어,공부하면 더 많은 선택을 할 수 있죠.,0,
공부하는 이유가 없어,공부하면 더 많은 선택을 할 수 있죠.,0,
공시 준비중,좋은 결과 있을 거예요!,0,
공시생이야,좋은 결과 있을 거예요!,0,
공책 필기 나만 힘들어?,성향 차이가 좀 있기는 하죠.,0,
공황장애 생겼어.,꾸준히 약 먹고 치료해보세요.,0,
공황장애 있어,꾸준히 약 먹고 치료해보세요.,0,
공휴일에는 집이 최고,피로 풀고 좋죠.,0,
공휴일에는 집콕,피로 풀고 좋죠.,0,
과거는 잊고 앞으로 나아 가야지,오늘이 중요하죠.,0,
과거는 중요하지 않아,오늘이 중요하죠.,0,
과식해서 소화가 안돼,소화제 챙겨드세요.,0,
과식했다,소화제 드세요.,0,
과외비 부담되겠지?,안된다고 하면 거짓말이겠지요.,0,
과외비 비싸?,안된다고 하면 거짓말이겠지요.,0,
과일 먹고 자야지,제철과일이 정말 좋아요.,0,
과일 먹어야지.,건강 생각해서 챙겨드세요.,0,
과일 잘 안 먹게 돼,그래도 먹으려고 노력해보세요.,0,
과일 챙겨 먹어야지,제철과일이 정말 좋아요.,0,
관계가 계속 애매하다.,인간 관계도 정리가 필요해요.,0,
관심 끄라고 하고 싶다.,무관심이 필요할 때가 있죠.,0,
관절염 같애,계단 조심하세요.,0,
광고가 안 끝나,채널을 돌려보세요.,0,
괜찮아지고 있어,괜찮아지고 있어 다행이에요.,0,
괜히 건들지 말라고,많이 지쳤나봐요.,0,
괜히 농담해서 망했다,늦지 않았어요.,0,
괜히 아까운 시간 버렸다,그 것도 다 경험이라고 생각하세요.,0,
괜히 창피해,그럴 필요 없어요.,0,
교양수업 은근 재미져,지식 쌓는 재미가 있죠.,0,
교양수업에서 마음에 드는 애 있어,같은 조가 되길 바랄게요.,0,
교양수업이 재미있어,지식 쌓는 재미가 있죠.,0,
교양이 전공보다 재미있어,저도 듣고 싶어요.,0,
교직이수 가능할까,학점 관리하세요.,0,
교통사고 당했어,보험 처리하세요.,0,
교회 가기 싫어,왜 그럴까요?,0,
교회 갔다 만났어,좋은 만남이었길 바라요.,0,
교회에서 만났어,좋은 만남이었길 바라요.,0,
구박하면서 엄청 일 시켜,일을 몰라서 그런가봐요.,0,
군대 기다리면 부담스러워할까,너무 걱정하지 마세요.,0,
군대 기다릴 수 있을까,자신의 삶을 살다보면 기다릴 수 있을 거예요.,0,
군대 전역 기다려,군대 시계는 멈추지 않아요.,0,
굿모닝,좋은 아침이에요.,0,
궁금하면 오백원,안 궁금해요.,0,
궁금해 알려줘,자세히 말씀해주세요.,0,
귀 아파,병원에 가세요.,0,
귀가 간지러,누가 욕하고 있나봐요.,0,
귀가 윙윙거려,병원에 가세요.,0,
그 사람이 나 안 좋아하는 거 같아,슬픈 이야기네요.,0,
그 사람이 행복했으면 좋겠다,그렇게 될 수 있을 거예요.,0,
그냥 공무원이 좋을 듯,시작이 반이에요. 어서 준비하세요.,0,
그냥 선 볼까?,많이 만나보세요.,0,
그냥 쉬고 싶다,잠깐 바람 쐬고 오세요.,0,
그냥 씹어야겠다.,다른 사람이 답답할 거예요.,0,
그냥 자는 거 아니지?,많이 피곤한가봐요.,0,
그냥 잘못했다고 하면 될거 같은데 자꾸 변명해,피할 수 있으면 피하세요.,0,
그냥 택시 타야지.,조심히 오세요.,0,
그냥 할까?,실천이 말보다 낫죠.,0,
그냥 혼자 있는게 좋아,혼자만 있지 마세요.,0,
그동안 잘 지냈나요?,안부를 물어주시다니 감사합니다.,0,
그땐 그랬지,추억에 잠길 때도 필요해요.,0,
그래 그러자,괜찮은 선택이길 바라요.,0,
그래 이제 결정했어,좋은 결과 있을 거예요.,0,
그래도 좀 기대했는데,기쁜 마음으로 베풀고 보답을 바라지 마세요.,0,
그런 사람인가보다 해야하나봐,대인배시군요.,0,
그런 사람인갑다 해야지,대인배시군요.,0,
그런 친구 아니었는데 너무 귀찮게 하네,친구가 좋아하나봐요.,0,
그림 잘 그리고 싶다,학원을 다니거나 연습하면 잘할 수 있을 거예요.,0,
그림 좀 잘 그렸으면 좋겠다,학원을 다니거나 연습하면 잘할 수 있을 거예요.,0,
그만 두고 나오고 싶어,뒷감당 자신 있으면 하세요.,0,
그만 살고싶어,당신을 소중하게 생각하세요.,0,
그저 그런 하루,그런 하루도 감사한 마음을 가져보세요.,0,
근사한 곳 알아 냈어,좋은 사람과 함께 가세요.,0,
금값 알아?,비싸요.,0,
금값 어때,비싸요.,0,
금사빠인가,호의인지 호감인지 헷갈리나요?,0,
금수저로 태어났으면,아이를 금수저로 만들어주세요.,0,
금수저로 태어났으면 좋았을텐데,아이를 금수저로 만들어주세요.,0,
금연이 쉽지 않아,자신을 이겨야해요.,0,
기 빨렸어,너무 긴장했나봐요.,0,
기능 좀 알려줘봐봐,당신의 삶을 응원해 드릴 수 있어요라고 감히 말해 봅니다.,0,
기다리는 것도 지쳐,기다리지 마세요.,0,
기다림이 습관이 됐나봐,좋은 분이시군요,0,
기대가 무너졌어,베풀되 보답을 바라지 마세요.,0,
기대가 부담스러운데 떨쳐낼 수 있는 방법 있을까?,자신을 사랑할수록 외부의 인정은 필요 없어요.,0,
기대하지 말걸,베풀되 보답을 바라지 마세요.,0,
기대했는데,기쁜 마음으로 베풀고 보답을 바라지 마세요.,0,
기댈 수 있는 사람,의지할 수 있는 사람이 곁에 있다는 건 큰 행운일 거예요.,0,
기름값 올랐어.,대중교통을 이용해주세요.,0,
기본이 뭔지도 모르는 것 같아.,각자가 생각하는 기본이 다를 수도 있어요.,0,
기본이 안 되어 있어,각자가 생각하는 기본이 다를 수도 있어요.,0,
기부했어,좋은 일 하셨네요.,0,
기분 꿀꿀해,내일은 오늘보다 나을 거예요.,0,
기분 나쁜 농담을 계속하고 있어,정색 한번 해주세요.,0,
기분 울적해서 좀 걷고 있어,걷다보면 조금 정리가 될 거예요.,0,
기분 전환 하고 싶어,저랑 함께 해요.,0,
기분이 더러워,경쾌한 음악 들어보세요.,0,
기분이 묘해,왜일까요?,0,
기숙사 괜찮을까,혼자 사는 것보다 불편하겠죠.,0,
기숙사 살면 불편해?,혼자 사는 것보다 불편하겠죠.,0,
기숙사 안됐어,다음 학기에는 학점 관리를 더 열심히 해봐요.,0,
기술 배울까,기술을 많이 알면 도움이 되겠죠.,0,
기차 타고 여행 가고 싶어,꿈꾸던 여행이네요.,0,
기차여행 가고 싶어,꿈꾸던 여행이네요.,0,
기침도 못하겠어,답답한 상황이네요.,0,
기침도 편하게 못해,답답한 상황이네요.,0,
기프트콘 선물 괜찮을까?,직접 주는 게 더 좋을 것 같아요.,0,
기프트콘 주면 좋아할까?,직접 주는 게 더 좋을 것 같아요.,0,
기프트콘으로 선물 받았어,좋겠네요.,0,
기회를 못 잡았어,더 좋은 기회가 올 거예요.,0,
기획사니까 당연히 예쁜 애들 많겠지,연예인을 준비하니 일반인보다 다 예쁘겠죠.,0,
기획사에 예쁜 애들 많겠지,연예인을 준비하니 일반인보다 다 예쁘겠죠.,0,
긴 머리 관리 어렵다.,그래서 저는 못 기르고 잘라요.,0,
긴 머리 관리하는 거 힘들다,그래서 저는 못 기르고 잘라요.,0,
긴 시간이 걸렸지만 괜찮아.,괜찮아지고 있어 다행이에요.,0,
긴장돼,크게 숨한 번 쉬어 보세요,0,
긴장돼서 땀나네,미리 긴장하지 마세요.,0,
길거리에서 연락처 물어보면 줘도 되나,마음에 들면 줘보세요.,0,
길에서 번호 따였어,잘 해보세요.,0,
길에서 전번 물어보면 줘도 되나,마음에 들면 줘보세요.,0,
길에서 헌팅 당했어,잘 해보세요.,0,
길은 멀고 해는 진다,그래도 넘을 수 있을 거예요.,0,
길이 미끄러워서 미끄러질뻔했어,조심하세요.,0,
길이 안보여,너무 낙담하지 마세요.,0,
길이 얼어서 미끄러질뻔했어,조심하세요.,0,
김떡순 먹고 싶어.,건강을 위해 조금씩 드세요.,0,
김치볶음밥 먹어야지,맛있는 식사시간 되시길 바랄게요.,0,
김치볶음밥이나 만들어 먹어야지,맛있는 식사시간 되시길 바랄게요.,0,
김치찌개 먹고 싶어,맛있죠!,0,
까아 오빠들 컴백한다,기다렸나봐요.,0,
깜깜한데 전기 안들어오네,조금만 기다리면 다시 전기가 들어올거예요.,0,
깡 마른 거 같아,적당해요.,0,
꽃 받고 싶다,제가 드리고 싶네요.,0,
꽃 사고 싶어,집안 분위기가 바뀔 거예요.,0,
꽃 살까?,집안 분위기가 바뀔 거예요.,0,
꽃 선물 좋아할까,꽃 선물은 언제나 좋죠.,0,
꽃 선물해 볼까,꽃 선물은 언제나 좋죠.,0,
꽃 예쁘게 말렸어,솜씨가 좋으시네요.,0,
꽃게탕 맛있다.,기분 좋아 보이세요.,0,
꽃꽂이 배우는 중,마음의 안정을 취하기 좋은 취미네요.,0,
꽃꽂이 배우니까 좋다,마음의 안정을 취하기 좋은 취미네요.,0,
꽃놀이 가고 싶어,벚꽃 계절이 다가왔네요.,0,
꽃다발 말리면 에쁘겠지.,거꾸로 해서 드라이플라워 만들어보세요.,0,
꽃다발 받았어,부러워요!,0,
꽃다발 샀어,멋진 선물이네요.,0,
꽃다발 선물 괜찮지?,센스있는 선물이에요.,0,
꽃다발 선물 받았어,부러워요!,0,
꽃다발 선물 어때?,센스있는 선물이에요.,0,
꽃바구니 선물이랑 과일 바구니 선물 뭐가 좋아?,받는 사람이 부럽네요.,0,
꽃바구니가 좋을까 과일바구니까 좋을까,받는 사람이 부럽네요.,0,
꿀잼,저도 즐거워요,0,
꿈은 많은데,차근차근 이뤄보아요.,0,
꿈이 너무 많아,차근차근 이뤄보아요.,0,
꿈이 다양해,많으면 많을 수록 좋죠.,0,
꿈이 자꾸 바뀌어,많으면 많을 수록 좋죠.,0,
꿈이 현실이었으면,현실을 꿈처럼 만들어봐요.,0,
끝나니까 허무하다,뜻대로 되는게 많지 않죠.,0,
나 감정쓰레기통이었나봐,자신을 더 사랑해주세요.,0,
나 갖고 장난친건가,아니길 바라요.,0,
나 같은 사람은 동물 키우면 안되겠지,잘 아시네요.,0,
나 같이 예쁜 애를 왜 갈구지,애정표현일 지도 몰라요.,0,
나 거짓말 못하겠어,얼굴에 다 티가 나네요.,0,
나 결정 잘 한거지?,"네, 이제 잘 해낼 차례예요.",0,
나 결정했어,좋은 결과 있을 거예요.,0,
나 괜찮지 않니,괜찮은 사람이에요.,0,
나 교직이수할 수 있을까?,학점 관리하세요.,0,
나 그동안 뭐한거니,바람 좀 쐬고 오시면 좋은텐데.,0,
나 내장비만이래,식단조절도 하고 꾸준히 운동하세요.,0,
나 너무 못 생겼어,충분히 아름다워요.,0,
나 노트북 사줘,노트북은 비싸요.,0,
나 누락됐나봐,확인해달라고 해보세요.,0,
나 다른 거 할까,시도해봐도 좋겠죠.,0,
나 뒷담화하는 애 어떻게 할까?,너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요.,0,
나 뒷담화하는 애 있다는데 어떻게 하지?,너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요.,0,
나 많이 기대했는데,상대에게 바라는 기대는 자신을 슬프게 해요.,0,
나 말 실수한 거 같아.,곰곰히 되짚어보세요.,0,
나 맨날 속는 거 같아,즐겁게 속아주세요.,0,
나 머리가 나뿐 것 같아,자책하지 마세요.,0,
나 모르는게 왜 이렇게 많지,당연한 거예요.,0,
나 몰래 사귀는 거 같애,눈치가 빠르시군요.,0,
나 무시 당한 거 같아,그런 생각을 들게 하는 사람 상종하지 마세요.,0,
나 무시하는 사람 짜증나,무시하세요.,0,
나 바뀌고 싶어,긍정적으로 바뀔 수 있어요,0,
나 바본인가 봄,바보는 자기한테 바보라고 하지 않아요.,0,
나 백수야,저랑 놀아요.,0,
나 보이스피싱 당한 거 같은데 어떡해?,경찰에 신고하고 취할 수 있는 조취를 취해보세요.,0,
나 사랑하니?,많이 사랑해요!,0,
나 상 받는대!,축하합니다!,0,
나 새 옷 샀다,꼬까옷 개시해보세요.,0,
나 서류에서 광탈했어,자책하지 마세요.,0,
나 소개팅한다!,성공을 기원합니다.,0,
나 속은 거 같아,다음부터 속지 마세요.,0,
나 속은듯,기분나쁘겠어요.,0,
나 승진했어,하늘만큼 땅만큼 축하해요,0,
나 실수했나,곰곰히 되짚어보세요.,0,
나 아재인가,고민하고 있으면 그럴 거예요.,0,
나 아직 어른 아닌 거 같아,물리적 나이가 아니라 정신적 나이가 중요하니까요.,0,
나 아직도 애 같아.,물리적 나이가 아니라 정신적 나이가 중요하니까요.,0,
나 여기서 뭐하는 거지,멍 때리고 있죠.,0,
나 연기 너무 못해 거짓말 못하겠어,얼굴에 다 티가 나네요.,0,
나 오늘 개불쌍,저도 사는데요.,0,
나 오늘 따라 잘생겨 보이네,자신에게 콩깍지가 씌였나봐요.,0,
나 오늘 상 받았지롱,축하드려요.,0,
나 완전 계탔어!,축하해요!,0,
나 왕따야,친구들과 잘 어울려보세요.,0,
나 왕따인거 같아,부모님께 도움을 청해보세요.,0,
나 왜 멍청해,다음에는 다를거예요.,0,
나 왜 이러지?,자책하지마세요.,0,
나 왜케 못 생겼지,충분히 아름다워요.,0,
나 요즘 정신 놓고 살고 있는 거 같아,정신 차리세요.,0,
나 욕 먹는 거 같아,남들 눈은 신경쓰지 마세요.,0,
나 웃겨 봐,거울 앞에 비친 당신을 보세요.,0,
나 이제 졸업해,졸업 축하해요,0,
나 인정받고 싶어,지금도 충분히 잘 하고 있어요.,0,
나 잘 살 수 있겠지,지금보다 더 잘 살 거예요.,0,
나 잘생겼지?,네 잘생겼어요.,0,
나 잘하고 있는 건지 모르겠어,잘하고 있을 거예요.,0,
나 잘하고 있는 걸까?,잘하고 있을 거예요.,0,
나 잘하는 게 없어,저랑 이야기 잘하고 있어요.,0,
나 정신차리게 말해줘,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.,0,
나 좀 건들지 마,제가 챙겨드리고 싶네요.,0,
나 좀 내버려 두면 좋겠어,많이 지쳤나봐요.,0,
나 좀 좋아해줬으면,먼저 다가가 보세요.,0,
나 좀 쩌는 듯,동감이에요.,0,
나 좀 칭찬해줘,지금도 잘하고 있어요.,0,
나 좋아하게 만들고 싶다,제가 당신을 좋아하고 있어요.,0,
나 좋아하는 것 같아,호의인지 호감인지 헷갈리나요?,0,
나 죽을 뻔함,지금은 괜찮길 바랄게요.,0,
나 짤릴 거 같아,초심으로 돌아가 열심히 해보세요.,0,
나 쫌 불쌍한 거 같아,저도 사는데요.,0,
나 챙겨줄 사람이 필요해,제가 챙겨드리고 싶네요.,0,
나 축구는 진짜 잘해,운동 잘하는 사람 멋있죠.,0,
나 친구들한테 인정받고 싶어,지금도 인정받고 있어요.,0,
나 폭식증인듯,나를 관찰하고 음식 자체에 집중하세요.,0,
나 폰 중독인 거 같애,잠깐 핸드폰을 내려두세요.,0,
나 폰겜 너무 많이해,시간을 정해보세요.,0,
나 폰겜했더니 몇 시간 갔어,시간을 정해보세요.,0,
나 할 수 있어,파이팅!,0,
나 함부로 말하는 거 고치고 싶어,고치고 싶다는 마음에서 시작하세요.,0,
나 혼자 여행 왔는데 괜찮네,온전히 느낄 수 있는 시간이겠네요.,0,
나 화장을 너무 못해,하다보면 늘어요.,0,
나 화장이 잘 안돼,하다보면 늘어요.,0,
나 회사에서 인정받고 싶어,자기개발을 해보세요.,0,
나가기도 귀찮아,집에서도 할 게 많아요.,0,
나는 나약한 존재,절대 그렇지 않아요.,0,
나는 누구인가,저도 궁금하네요.,0,
나는 모자란 사람인 거 같아,모자라지 않아요.,0,
나는 잘 할줄 아는 게 없는 것 같아,잘해야 한다는 부담감을 버리세요.,0,
나는 좋은데 ….,현실의 벽에 부딪혔나봐요.,0,
나는 친구가 없어,친구가 들으면 서운해 할 수도 있겠어요.,0,
나는 친구라고 믿었는데,뒤통수 맞았나봐요.,0,
나도 괜찮은 사람인데,알아봐주는 사람이 있을 거예요.,0,
나도 비키니 입고 싶다,다이어트 파이팅!,0,
나도 약초 캐볼까?,근처 산에 가보세요.,0,
나도 월급 필요해,많이 벌수록 좋아요.,0,
나도 위로 받고 싶다,제가 위로 많이 해드릴게요.,0,
나도 이제 아재인가,고민하고 있으면 그럴 거예요.,0,
나도 중국 진출해볼까?,좀 더 알아보고 하세요.,0,
나도 집 사고 싶어,같이 살고 싶은 사람이 있나봐요.,0,
나도 커플룩 입고 싶다,커플부터 만드세요.,0,
나두 잘할거야,잘 하실 거예요!,0,
나란 놈,다 잘 될 거예요.,0,
나랑 놀자,지금 그러고 있어요.,0,
나랑 있는게 힘들었나봐,상대방을 이해해 주세요.,0,
나른하다,아무 것도 안해도 괜찮아요.,0,
나를 너무 오래 기다리게했어,기다리는 동안 많은 생각이 들었겠네요.,0,
나를 너무 함부로 대해,그럴 때마다 따끔하게 말해보세요.,0,
나를 미소짓게 만든 너,상대방도 미소짓게 해주세요.,0,
나를 바꿀 수 있는 건 뭐가 있을까,지금 모습도 좋아요,0,
나를 친구로 생각 안했나봐,그런 친구는 거르세요.,0,
나를 호구로 아는 사람 어떡해?,상종하지마세요.,0,
나를 힘들게 하는 사람인데 붙잡고 싶어,질질 끌지 마세요.,0,
나만 기다렸나봐,누군가를 기다린다는게 쉬운게 아니죠.,0,
나만 꿈 없이 사는 거 같아,살다보면 하고 싶은 게 생길 수도 있어요.,0,
나만 남친 없어,제가 있잖아요.,0,
나만 뒤처지는 느낌이야,스스로 경쟁해야하고 이겨야한다는 강박관념에 사로잡히지 마세요.,0,
나만 설레는 거야,그 사람도 설렐 거예요.,0,
나만 솔로야,제가 있잖아요.,0,
나만 애기봐,배우자와 대화를 나눠보세요.,0,
나만 야근해,얼른 끝내시길 기도할게요.,0,
나만 우스워질거 같아,스스로 단단해지세요.,0,
나만 이상한 사람이래,그 말을 한 사람이 가장 이상할 거예요.,0,
나만 이상해졌어,그 말을 한 사람이 가장 이상할 거예요.,0,
나만 일시켜서 짜증폭발,일 분배를 다시 요청해보세요.,0,
나만 제자리걸음이야,발전이 없다고 너무 두려워하지 마세요.,0,
나만 제자리인듯,제자리여도 괜찮아요,0,
나만 진급 못했어,다음에는 꼭 진급할 거예요.,0,
나만 친구라고 생각한건가,뒤통수 맞았나봐요.,0,
나만 친구로 생각했나봐,그런 친구는 거르세요.,0,
나만의 시간이 필요해,자신과 대화하는 시간이 필요하죠.,0,
나빼고 다 행복한 거 같아,남들이 당신을 볼 때도 그렇게 생각할수있어요.,0,
